compte;macro_secteur;segment;vertical_client;regime_achat;tier;relation;confiance;note
Robertet;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;grand_compte;client;haute;Compte de référence du corpus parfumerie
Argeville;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;eti;prospect;haute;
Aromatech Group;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;pme;prospect;haute;
Expressions Parfumees;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;pme;prospect;haute;
Jean Niel;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;pme;prospect;haute;
PARFEX;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;pme;prospect;haute;
Payan Bertrand;Parfumerie, Arômes & Cosmétique;1.1 Compositions & ingrédients B2B;;prive;pme;prospect;haute;
L Occitane;Parfumerie, Arômes & Cosmétique;1.2 Marques & produits finis;;regule;grand_compte;prospect;haute;Règlement cosmétique + retail international
Fragonard;Parfumerie, Arômes & Cosmétique;1.2 Marques & produits finis;;regule;eti;prospect;moyenne;À cheval amont/aval - attribut amont_integre
Groupe Arthes;Parfumerie, Arômes & Cosmétique;1.2 Marques & produits finis;;regule;pme;prospect;haute;
CHU de Nice;Santé & Sciences du vivant;2.1 Offre de soins & diagnostic;;commande_publique;grand_compte;prospect;haute;Ségur numérique
Centre LACASSAGNE;Santé & Sciences du vivant;2.1 Offre de soins & diagnostic;;commande_publique;eti;prospect;haute;CLCC
Lbm Bioesterel;Santé & Sciences du vivant;2.1 Offre de soins & diagnostic;;regule;eti;prospect;moyenne;Groupe Biogroup - couloir biologie du Ségur
Medipath;Santé & Sciences du vivant;2.1 Offre de soins & diagnostic;;regule;nd;prospect;moyenne;Anatomopathologie
Horus Pharma;Santé & Sciences du vivant;2.2 Industrie de santé - pharma & MedTech;;regule;pme;prospect;haute;
Median Technologies;Santé & Sciences du vivant;2.2 Industrie de santé - pharma & MedTech;sante;regule;pme;prospect;haute;Éditeur logiciel imagerie - role=editeur
SOS Oxygene;Santé & Sciences du vivant;2.3 Services de santé & réseaux de soins;;regule;grand_compte;prospect;haute;PSAD multi-sites
Univet;Santé & Sciences du vivant;2.3 Services de santé & réseaux de soins;;regule;eti;prospect;moyenne;Réseau de cliniques vétérinaires - sans sector_id en base
Arkopharma;Santé & Sciences du vivant;2.4 Nutraceutique & santé naturelle;;regule;eti;prospect;haute;Fiche Kredo existante
Laboratoires INELDEA;Santé & Sciences du vivant;2.4 Nutraceutique & santé naturelle;;regule;eti;prospect;haute;Fiche Kredo existante
Domusvi;Grand âge, handicap & médico-social;3.1 Établissements médico-sociaux & résidences;;regule;grand_compte;prospect;haute;Financement ARS
Emera;Grand âge, handicap & médico-social;3.1 Établissements médico-sociaux & résidences;;regule;grand_compte;prospect;haute;
UNAPEI PACA;Grand âge, handicap & médico-social;3.1 Établissements médico-sociaux & résidences;;regule;nd;prospect;moyenne;Handicap - rejoint le segment au lieu d un segment isolé
CASA (Communauté d agglomérations);Sphère publique, enseignement & recherche;4.1 Collectivités & administrations d État;;commande_publique;nd;prospect;haute;
